以下是List 10的内容，按照指定格式整理：

abort,n.中止计划；夭折
acidic,j.酸的；酸性的
adequate,j.适当的；足够的
adorn,v.装饰；装扮
approve,v.批准；赞成
atomic,j.原子的；原子能的
bacteria,n.细菌
breathing,n.呼吸
bubble,n.泡；v.起泡
bulb,n.球茎；灯泡
cluster,n.串；群；v.丛生；使成群
consume,v.消耗；消费；大吃大喝
debris,n.废墟；残骸；碎片
destined,j.注定的
distribute,v.分配；分发；散布
dolphin,n.海豚
drill,v.钻孔；n.钻孔；操练
elementary,j.初级的
engraving,n.雕刻术；版画
entitle,v.使有权
expansion,n.扩张；膨胀；张开
exposure,n.显露；曝光
farce,n.闹剧；滑稽剧
flexible,j.易曲的；柔软的；灵活的
fulfill,v.履行；符合
gender,n.性别
genius,n.天才；天赋
gospel,n.信条；福音音乐
hamper,v.妨碍
hygiene,n.卫生
ideology,n.思想体系；意识形态
inconvenient,j.不方便的；让人不舒服的
infrared,j.红外线的
invasion,n.侵入；侵略
junction,n.交叉点；汇合处
laureate,n.戴桂冠的人
literary,j.文学的
mammoth,n.猛犸象；j.巨大的
mania,n.狂热
manual,j.手工的；n.手册
melody,n.悦耳的旋律
moral,j.道德的；精神的；n.道德
muggy,j.闷热而潮湿的
naive,j.天真的；纯朴的
narrate,v.叙述
notion,n.概念；观念；想法
offer,v.提供
outbreak,n.发作；爆发
overload,v.使超载；n.超载
partial,j.不完全的
populate,v.居住于；移民
prevailing,j.普遍的；流行的
prohibitively,adv.极高地
proofread,v.校对；校正
protest,n.抗议；v.抗议
quota,n.定额
rampant,j.猖獗的；蔓生的
ratio,n.比；比率
recital,n.独奏会
reckless,j.轻率的；鲁莽的
restoration,n.恢复；翻新
rodent,n.啮齿目动物
scholarship,n.奖学金；学问
scuba,n.水中呼吸器
sedimentary,j.沉积的；沉淀性的
sewerage,n.排水系统
shower,n.淋浴器；阵雨
silt,n.淤泥
stripe,n.条纹；斑纹
suppose,v.假设；推测
symptom,n.症状；征兆
tension,n.紧张；拉紧；张力
treadmill,n.踏车
tributary,n.支流；j.支流的
undertaking,n.事业；企业
unparalleled,j.空前的；无比的
vertical,j.垂直的；竖直的
vigilance,n.警戒；警惕
vocal,j.声音的；有声的
wane,v.衰退
