以下是Word List 13的内容，按照指定格式提取：

addictive,a.上瘾的;沉醉的;醉心的  
agency,n.代理处;(政府等的)专门行政部门  
airborne,a.空气传播的  
alien,a.不同的;n.外星人;组织之外的人  
anxious,a.渴望的;担忧的  
atmosphere,n.大气;空气;气氛  
attractive,a.吸引人的;有魅力的  
audience,n.听众;观众  
bark,n.树皮  
beverage,n.饮料  
bold,a.大胆的  
care,n.小心;注意;关怀;v.关心;介意  
comment,n./vi.评论;注释  
common,a.普通的;平常的;共同的;公共的  
comply,v.服从;遵守  
comprise,vt.包含;由…组成  
conceal,vt.隐蔽;隐瞒  
conduct,n.行为;vt.引导;传导;进行  
contour,n.轮廓;等高线;周线  
crab,n.蟹  
crumple,v.把…弄皱;起皱  
depot,n.货站;仓库  
deserted,a.荒废的;无人的  
diagnose,v.诊断  
dilate,v.膨胀;扩大  
diversification,n.多样化  
dot,vt.星罗棋布于;n.点;圆点  
effective,a.有效的;生效的;给人深刻印象的;显著的  
expressly,ad.特意地;专门  
facility,n.设备;工具  
field,n.田;田野;运动场;领域;方面;场  
finch,n.雀类  
frigid,a.寒冷的;冷淡的  
furnace,n.暖气锅炉;熔炉  
gasoline,n.汽油  
generalize,vt.概括;归纳  
given,a.特定的;假定的  
hay,n.干草  
hemisphere,n.半球;大脑的半球  
hieratic,a.僧侣的;僧侣用的  
imitation,n.模仿;仿效;仿造品  
immature,a.未成熟的  
impressive,a.给人深刻印象的  
inheritance,n.遗产  
interactive,a.交互式的  
lace,n.蕾丝;缎带  
latitude,n.纬度;纬度地区  
lay,v.下(蛋);放置  
legislature,n.立法机关  
march,n.进行曲;v.前进;行进  
marvel,n.奇异的事物;奇迹  
metric,a.米制的;公制的  
metropolitan,a.主要都市的;大城市的  
modeling,n.立体感;造型(术)  
monitor,n.显示器;vt.监控;调节  
multiply,v.增加;繁殖  
mythical,a.神话的;虚构的  
offspring,n.子孙;后代  
pamphlet,n.小册子  
pause,v./n.中止;暂停  
petition,n.请愿书;申请书;诉状;v.请愿;正式请求  
petroleum,n.石油  
pharmacy,n.药店  
preserve,vt.保护;保存  
priority,n.在先;优先权  
puzzle,n.难题;谜;迷惑;v.(使)迷惑;(使)为难  
recognition,n.承认;认出;辨认;赞扬  
recurring,a.往复的;再次发生的  
refraction,n.折光;折射  
retreat,vi.退却;撤退;n.退却;隐退处  
reveal,vt.暴露;揭露;展现  
sanctuary,n.动物保护区;避难所;圣所;圣殿  
sketch,n.草稿;草图;素描;vt.给…速写  
stanza,n.(诗)节;段  
substantive,a.真实的;有实质的  
target,n.目标;对象;靶子;vt.把…作为目标  
unity,n.统一;联合  
unravel,v.弄清楚  
veil,vt.隐藏;遮蔽;n.面纱
