abrasion,n.表面磨损  
absenteeism,n.旷课；旷工  
acclaim,v./n.喝彩；称赞  
astronomy,n.天文学  
boundary,n.分界线；边界  
brass,n.黄铜（器）；铜管乐器  
candidate,n.候选人  
coincide,v.一致；相巧合  
colony,n.殖民地；（生物）群体  
comic,a.滑稽的，喜剧的  
comprehensive,a.全面的，综合的  
concave,a.凹的  
cooperation,n.合作，协作  
curious,a.好奇的；求知的  
decode,v.译解  
demanding,a.苛求的；费力的  
designate,v.指定；任命  
diversity,n.多样性  
dogged,a.顽强的；顽固的  
donation,n.捐赠，捐款  
dormitory,n.宿舍  
drain,n.排水；消耗;v.（使）流走  
drowsy,a.昏昏欲睡的，使人昏昏欲睡的  
edge,n.边，棱；刀口，刃;v.侧身移动，挤进  
efficiency,n.效率，功效  
elevation,n.提高；高度，海拔  
elongate,v.延长，伸长  
employ,v.用，使用；雇佣  
erupt,v.爆发  
extinct,a.灭绝的  
fraction,n.小部分  
galaxy,n.星系  
grace,n.优美，优雅  
hitherto,ad.迄今，至今  
idle,a.懒散的；空闲的  
inanity,n.空虚  
ingredient,n.成分，要素；（烹调的）原料  
insulin,n.胰岛素  
interfere,v.干涉；妨碍  
invitation,n.邀请；请柬  
inviting,a.动人的，诱人的  
involve,v.牵涉；包含；使参与  
item,n.条，条款；项目  
keyboard,n.键盘  
lettuce,n.生菜；莴苣  
magnetic,a.磁（性）的  
mason,n.泥瓦匠  
meantime,ad./n.其时，其间  
merchant,n.商人  
metallic,a.金属（性）的  
military,a.军（事、用）的;n.军队  
mode,n.方式；风格；时尚  
monastery,n.修道院，寺院；僧侣  
narrative,n.叙述；记叙文  
nourish,v.滋养；养育  
optimistic,a.乐观的  
ornithology,n.鸟类学  
overnight,a.通宵的，晚上的，前夜的;ad.在前一夜，整夜  
pale,a.苍白的；淡的  
penetrate,v.刺穿；渗透；洞察  
prominent,a.卓著的；突起的  
proposal,n.提议，建议；求婚  
qualify,v.（使）具有资格，（使）合格  
realm,n.领域；王国  
rug,n.（小）地毯；围毯  
sac,n.囊，液囊  
satiric,a.讽刺的  
separate,a.分离的；个别的;v.分离；划分；区别  
shed,v.脱落；流出；散发;n.小屋  
smother,v.（使）窒息  
so-called,a.所谓的  
sore,a.疼痛的；极度的  
suspend,v.吊，挂；暂缓  
sustain,v.保持，维持（生命）  
swarm,n.（一大）群  
sweat,n.汗（水）  
through,prep.穿过，通过；从开始到结束；经由，以；因为，由于;ad.从头到尾，自始至终  
translucent,a.（半）透明的  
untamed,a.难控驭的  
X-ray,n.X射线，X光
