以下是Word List 42的内容，按照指定格式提取：

adaptable,a.能适应的；可修改的  
alter,v.改变  
amass,v.积聚  
anthropologist,n.人类学家  
artesian,a.自流水的；喷水的  
attempt,n./v.尝试；努力  
barely,ad.仅仅；几乎不能  
boom,n.繁荣；v.迅速增长  
bureau,n.局；署  
calculus,n.微积分  
cognition,n.认知；认识力  
combine,v.联合；结合  
concentric,a.同心的  
copier,n.影印机；复印机  
cowhand,n.牛仔；牧牛工  
crush,v.碾碎；使变皱  
dated,a.过时的  
debatable,a.有争议的  
decimal,a.十进的；小数的；n.小数  
delta,n.三角洲  
demolish,v.拆除；破坏  
depression,n.萧条期；沮丧  
diet,n.饮食；v.节食  
digestive,a.消化的  
disgust,v.厌恶；嫌恶  
displacement,n.移置；转移  
educated,a.受过教育的；有教养的  
emission,n.散发物；发出  
enzyme,n.酶  
erode,v.侵蚀；腐蚀  
exotic,a.外来的；奇异的  
extinction,n.灭绝；熄灭  
fabric,n.布；结构  
fashion,n.方式；流行；v.形成  
feasible,a.可行的  
fervor,n.热情；热烈  
figure,n.体形；数字；v.算出  
functional,a.功能的；可起作用的  
fungus,n.真菌；霉菌  
gemstone,n.宝石  
genuine,a.真正的；真实的  
granular,a.粒状的  
grimly,ad.冷酷地  
hammer,n.槌；v.锤打  
heritage,n.遗产；传统  
impermeable,a.不可渗透的  
impersonal,a.冷淡的；客观的  
inflate,v.使充气；使膨胀  
influential,a.有影响的；有权势的  
informative,a.提供消息的；见闻广博的  
joint,n.关节；接合处  
journalist,n.新闻记者  
leak,v.漏；泄漏  
lens,n.透镜；镜片  
mint,v.铸造；n.造币厂  
molecule,n.分子  
nutrient,n.滋养物；a.有营养的  
peninsula,n.半岛  
pilot,n.飞行员；a.试验性的  
plasma,n.血浆  
psychoanalysis,n.心理分析；精神分析  
purple,n./a.紫色的  
quasar,n.类星体  
racing,n.比赛；竞赛  
radical,a.根本的；激进的；n.激进分子  
rainfall,n.降雨；降雨量  
reason,n.原因；v.推断  
robust,a.健壮的；强壮的  
sap,n.树液；v.使衰竭  
solicit,v.恳请；乞求  
species,n.种类；类群  
spread,v./n.展开；散布  
temple,n.寺庙  
terminal,a.末端的；n.终点站  
terrain,n.地势；地形  
transmit,v.传输；传播  
tycoon,n.巨头  
vegetation,n.植物；植被  
vulnerable,a.易受攻击的；易受伤害的  
weave,v.迂回行进；编织
