以下是Word List 5的内容，按照指定格式提取：

ailment,n.轻病  
assimilate,v.吸收知识；消化；使同化  
audio,a.音频的；声音的  
axis,n.轴  
cable,n.缆绳；电缆；电报  
chubby,a.丰满的  
committee,n.委员会  
commute,v.坐公交车上下班  
consult,v.请教；商议；参考  
converse,v.交谈  
corrosive,a.腐蚀的  
courageous,a.勇敢的  
cousin,n.堂兄弟；堂姐妹  
credential,n.证明书；文凭；资格  
define,v.定义；解释  
denote,v.表示；意味着  
detergent,n.清洁剂  
device,n.装置；设备；手法  
dominant,a.支配的；占优势的  
estimate,v.估计；估价;n.估计；估价  
excavation,n.挖掘  
facilitate,v.推动  
fellow,n.家伙；同事;a.同道的  
foremost,a.最著名的；最重要的  
frenzy,n.狂暴  
friction,n.摩擦；冲突  
hardware,n.五金制品  
imprint,v.铭记;n.印记  
induce,v.引起；诱使  
inert,a.惰性的  
infection,n.感染；传染病  
intense,a.强烈的；热切的  
intuitive,a.直觉的  
isolated,a.分离的；独一无二的  
jelly,n.果冻  
jolt,v.使震惊;n.震动  
laboratory,n.实验室  
lament,v.抱怨  
leftover,n.剩余物；剩饭菜  
lithosphere,n.岩石圈  
manufacture,v.制造;n.制造品  
opposed,a.反对的  
overhaul,n.仔细检查  
overtime,a.加班的;adv.加班地  
pack,v.捆扎;n.包裹  
pay,v.支付;n.工资  
perfect,a.完美的;v.使完美  
photodissociation,n.光解  
pigeon,n.鸽子  
poetry,n.诗歌  
principle,n.原则；原理  
profound,a.深远的；知识渊博的  
promote,v.促进；提升；宣传  
prompt,v.促进；发扬  
propose,v.建议；计划  
reactor,n.反应堆  
realization,n.实现；意识  
recession,n.萧条时期  
reliable,a.可靠的  
remarkable,a.显著的；非凡的  
replenish,v.添加；补充  
response,n.回答；反应  
revolution,n.革命  
scurry,v.急跑  
sensible,a.明显的；明智的  
simulate,v.模仿  
sluggish,a.行动迟缓的；不活泼的  
soft,a.柔软的；柔和的  
squash,n.南瓜  
stuck,a.粘住的；遇到困难的  
subsequent,a.随后的；并发的  
substantiate,v.证实  
suburb,n.郊区  
supreme,a.最高的；最重要的  
trace,v.追溯;n.痕迹  
vague,a.模糊的  
vast,a.巨大的；范围广的  
virus,n.病毒  
visual,a.视觉的；看得见的  
watercourse,n.水道
