以下是List 6的内容，按照指定格式提取：

pay,v.支付，付出；给予（注意）；值得；进行（访问等）;n.工资，薪金
perfect,j.完美的，理想的;v.使完美；使熟练
photodissociation,n.光解（作用）
pigeon,n.鸽子
poetry,n.诗歌，诗集
principle,n.原则；原理
profound,j.深远的；知识渊博的；深奥的
promote,v.促进；提升；宣传
prompt,v.促进，推动；发扬
propose,v.建议；计划
reactor,n.反应堆
realization,n.实现；意识
recession,n.萧条时期
reliable,j.可靠的，可信赖的
remarkable,j.显著的，值得注意的；非凡的
replenish,v.添加；补充
response,n.回答；反应，响应
revolution,n.革命
scurry,v.急跑
sensible,j.明显的；明智的；切合实际的
simulate,v.模仿，模拟
sluggish,j.行动迟缓的；不活泼的
soft,j.柔软的；柔和的；不含酒精的
squash,n.南瓜
stuck,j.粘在（上面）的；遇到困难（干不下去）的
subsequent,j.随后的；并发的
substantiate,v.证实
suburb,n.郊区
supreme,j.最高的；最重要的
trace,v.追溯；探索；描摹;n.痕迹；微量
vague,j.模糊的
vast,j.巨大的，大量的；范围广的
virus,n.病毒
visual,j.视觉的；看得见的
watercourse,n.水道，河道
agreeable,j.使人愉快的；欣然同意的
allegiance,n.忠诚，效忠；忠贞；拥戴
alleviate,v.减轻，缓和
angular,j.有角的，尖角的
annoyed,j.生气的
architect,n.建筑师
ascending,j.上升的，向上的
bounce,v./n.（使）弹，（使）反弹
cabin,n.小屋
carp,n.鲤鱼
celestial,j.天空的
ceremony,n.典礼，仪式；礼节
colonial,j.殖民（地）的
comparable,j.（with，to）可比较的，类似的；比得上的
complementary,j.补充的；互补的
congressional,j.代表大会的，会议的；国会的；最高立法机关的
cornerstone,n.墙角石，奠基石；柱石；基础
crew,n.全体船员；全体工作人员
crow,n.乌鸦
department,n.系，学部；部，局，处，科，部门
deserve,v.应得；值得
desire,v.想要，渴望;n.愿望，欲望
digression,n.离题，扯到枝节上；题外话，枝节内容
director,n.导演；主管，负责人
disadvantage,n.缺点；不利
distinguish,v.区别，辨别；出名
eccentric,j.古怪的；反常的;n.古怪的人
eligible,j.符合条件的，合格的
file,n.档案；行列;v.归档；提出
flagellum,n.鞭毛
fold,n.褶皱;v.合拢
foolish,j.愚蠢的
fungi,n.真菌
glacial,j.冰期的；冰河时代的
grab,v.（随便地或匆匆地）取或拿
grasp,v.抓住
improvise,v.即席创作；临时准备
inconspicuous,j.不显眼的
institute,n.研究所，学院;v.设立；制定
journal,n.定期刊物，杂志；日记，日志
landmark,n.（显而易见的）路标，地标；<喻>里程碑
loose,j.松散的，宽松的；不牢固的
lost-and-found,n.失物招领
lush,j.茂盛的
mental,j.精神的；智力的
moist,j.潮湿的；多雨的
nationalism,n.民族主义
nominee,n.被提名的候选人；被任命者
nonsense,n.胡说；废话
notation,n.符号
otherwise,adv.另外；用别的方法；在其他方面;conj.要不然，否则
palate,n.上腭
physical,j.身体的；物理的；物质的;n.体检
postcard,n.明信片
president,n.总统；（大学）校长；总经理
quilt,n.棉被;v.制成棉被
rancher,n.牧场主；牛仔
rare,j.稀有的，罕见的；（肉类）半熟的
raw,j.未加工过的
reddish,j.微红的
refreshing,j.使人耳目一新的；提神的
rescue,v./n.营救，搭救
resign,v.辞去，辞职
rupture,v.（使）破裂
schedule,n.时刻表，日程表;v.安排，预定
scholar,n.学者
seal,n.海豹;v.密封
sheath,n.鞘，外壳
shelter,n.掩蔽处，庇护所;v.保护，避难
spacecraft,n.宇宙飞船
spherical,j.球的；球状的
stable,j.稳定的，安定的
sympathetic,j.有同情心的；【物】和应的
tally,n.记账，计算
tenement,n.廉租公寓
tissue,n.组织
vacant,j.空的；闲置的
verse,n.诗歌；韵文
waste,v.浪费，消耗;j.无用的，废弃的；荒芜的;n.浪费；废物
zealous,j.狂热的
