以下是Word List 9的内容，按照指定格式提取：

access,n.通道;机会 vt.存取;使用;接近  
accredit,vt.授权  
advanced,a.先进的;高级的  
adverse,a.负面的;不利的  
afford,vt.买得起;冒险做;提供  
annoying,a.使人颇为生气或烦恼的  
appreciation,n.欣赏;口味;兴趣  
assembly,n.集会;装配  
benefit,n.利益;好处 v.受益  
captivity,n.囚禁;拘留  
championship,n.锦标赛  
chilled,a.冷冻的  
clue,n.线索;提示  
column,n.圆柱;专栏;长列  
commemorate,v.纪念;庆祝  
component,n.成分;组成部分 a.构成的  
cosmos,n.宇宙  
critic,n.评论家;批评家  
dehydrate,vt.使脱水  
despoil,v.夺取;掠夺  
diction,n.措辞;用语  
dim,a.模糊的;暗淡的  
elaborate,a.精心计划(制作)的;复杂精美的  
engulf,v.吞没  
eternal,a.永恒的;不朽的;不断的  
fair,a.公平的;合理的 n.展览会;集市  
fairly,adv.相当地;公正地  
feudal,a.封建(制度)的  
function,n.机能;功能;作用  
gradual,a.逐渐的;逐步的  
heed,n.注意;留心  
hibernation,n.冬眠;进入冬眠状态  
hollow,a.空心的;虚伪的 n.山谷 vt.挖空  
horizon,n.地平线;眼界;视野  
illuminate,v.照亮  
implement,vt.执行;实施 n.工具  
incense,n.熏香  
insist,v.坚持要求;坚决主张  
launch,vt.使开始;发射  
linguist,n.语言学家  
longevity,n.长寿  
management,n.经营;管理;管理部门  
medal,n.奖牌;奖章  
medieval,a.中世纪的  
meteorology,n.气象学  
microscope,n.显微镜  
mock,v.嘲笑  
nourishment,n.营养品  
numerous,a.许多的;无数的  
obscure,a.暗的;朦胧的;模糊的 vt.使暗  
phenomenon,n.现象;特殊的事物  
pit,n.深坑;矿井 vt.使竞争  
plumage,n.鸟类羽毛  
porcelain,n.瓷器;瓷  
portion,n.部分  
postpone,vt.使延期;推迟  
presidency,n.职位;任期  
productivity,n.生产力  
proponent,n.支持者;倡导者  
protein,n.蛋白质  
recognize,vt.认出;识别;认可  
salamander,n.火蜥蜴  
seep,v.漏出;渗漏  
senate,n.参议院  
session,n.会议;开庭  
shortage,n.不足;缺乏  
skip,v.跳;不出席;逃学  
slice,vt.切(片) n.薄片;片断  
slip,v.滑(过;落) n.(木;纸)片;滑倒  
status,n.身份;地位;情况  
strain,n.张力 vt.扭伤  
stride,n.大步;步法  
subway,n.地铁  
surge,v.汹涌奔腾 n.汹涌;猛涨  
terminus,n.(火车;汽车)终点站  
territory,n.领土;领域  
thereby,adv.因此;从而  
topsoil,n.表层土  
transit,n.运输(线);转变  
unpredictable,a.不可预知的
